,Entropy,CW norm,Acc,Adv Acc,Adv,"(Acc,Adv Acc, Adv)"
0,0.094136395,0.41486716,True,False,True,"(True, False, True)"
1,0.10811909,1.3112637,True,False,True,"(True, False, True)"
2,0.120099604,0.3037199,True,False,True,"(True, False, True)"
3,0.09719175,0.3930338,True,False,True,"(True, False, True)"
4,0.088563725,0.8600201,True,False,True,"(True, False, True)"
5,0.09049262,0.7220323,True,False,True,"(True, False, True)"
6,0.095441364,1.3450637,True,False,True,"(True, False, True)"
7,0.0890781,0.48865223,True,False,True,"(True, False, True)"
8,0.091848925,0.5649992,True,False,True,"(True, False, True)"
9,0.3034014,0.19484237,True,False,True,"(True, False, True)"
10,0.076523736,0.6971467,True,False,True,"(True, False, True)"
11,0.09811804,1.6052269,True,False,True,"(True, False, True)"
12,0.0660089,0.6780072,True,False,True,"(True, False, True)"
13,0.11186546,2.0527375,True,False,True,"(True, False, True)"
14,0.10277442,1.499404,True,False,True,"(True, False, True)"
15,0.1282507,0.46077314,True,False,True,"(True, False, True)"
16,0.104895465,0.40110844,True,False,True,"(True, False, True)"
17,0.15200672,0.642816,True,False,True,"(True, False, True)"
18,0.08966551,0.8717696,True,False,True,"(True, False, True)"
19,0.0994143,1.2781171,True,False,True,"(True, False, True)"
20,0.23536704,0.32468045,True,False,True,"(True, False, True)"
21,0.14564458,0.5966877,True,False,True,"(True, False, True)"
22,0.12359621,0.3433129,True,False,True,"(True, False, True)"
23,0.09820993,1.0233756,True,False,True,"(True, False, True)"
24,0.098064706,0.6978659,True,False,True,"(True, False, True)"
25,0.10565987,0.6978988,True,False,True,"(True, False, True)"
26,0.102410085,0.41022465,True,False,True,"(True, False, True)"
27,0.07782847,0.8325135,True,False,True,"(True, False, True)"
28,0.104356855,0.6700086,True,False,True,"(True, False, True)"
29,0.11275973,0.886629,True,False,True,"(True, False, True)"
30,0.10536473,0.41197303,True,False,True,"(True, False, True)"
31,0.09251208,0.89241165,True,False,True,"(True, False, True)"
32,0.17650238,0.2733827,True,False,True,"(True, False, True)"
33,0.49372005,0.09180705,True,False,True,"(True, False, True)"
34,0.104201674,1.0642786,True,False,True,"(True, False, True)"
35,0.13639835,0.35142812,True,False,True,"(True, False, True)"
36,0.17470023,0.4809337,True,False,True,"(True, False, True)"
37,0.14217547,0.4339232,False,True,True,"(False, True, True)"
38,0.11060773,2.4188743,True,False,True,"(True, False, True)"
39,0.11107153,1.3463309,True,False,True,"(True, False, True)"
40,0.16401573,0.6918316,True,False,True,"(True, False, True)"
41,0.10182041,1.3504004,True,False,True,"(True, False, True)"
42,0.11058387,0.39465198,True,False,True,"(True, False, True)"
43,0.09316228,0.937219,True,False,True,"(True, False, True)"
